"구분별(1)",구분별(2),2018,2018,2018
"구분별(1)",구분별(2),전체,있다,없다
"전체",소계,100.0,3.5,96.5
"규모",100∼299인,100.0,3.2,96.8
"규모",300∼999인,100.0,3.9,96.1
"규모",1000∼1999인,100.0,2.1,97.9
"규모",2000인 이상,100.0,4.7,95.3
"업종",제조업,100.0,2.4,97.6
"업종",건설업,100.0,4.1,95.9
"업종",도소매업/숙박음식,100.0,5.9,94.1
"업종",운수업,100.0,5.0,95.0
"업종",금융/부동산,100.0,0.0,100.0
"업종",출판/전문과학/사업서비스,100.0,4.1,95.9
"업종",공공행정,100.0,6.0,94.0
"업종",교육 서비스업,100.0,9.1,90.9
"업종",보건복지,100.0,6.1,93.9
"업종",예술/협회,100.0,4.3,95.7
"업종",기타(농림어업광업/전기/폐기물),100.0,1.3,98.7
"기업형태",민간,100.0,3.4,96.6
"기업형태",공공,100.0,3.7,96.3
"직급",대리급,100.0,5.0,95.0
"직급",과장급,100.0,2.0,98.0
"직급",차장급,100.0,2.9,97.1
"직급",부장급이상,100.0,1.9,98.1
