"행정구역별(1)",2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017,2018,2018,2019,2019,2020,2020
"행정구역별(1)",수급자 (명),수급금액 (천원),수급자 (명),수급금액 (천원),수급자 (명),수급금액 (천원),수급자 (명),수급금액 (천원),수급자 (명),수급금액 (천원),수급자 (명),수급금액 (천원),수급자 (명),수급금액 (천원),수급자 (명),수급금액 (천원),수급자 (명),수급금액 (천원),수급자 (명),수급금액 (천원),수급자 (명),수급금액 (천원),수급자 (명),수급금액 (천원)
"전국",70560,178476576,75742,192564231,90290,232915138,93394,241900185,90507,235105012,88756,236844832,95259,259010544,90467,248034473,81710,243399985,77062,2493298867,74095,269685619,71943,287169580
"서울특별시",30439,72936105,32784,77762742,39415,93808366,40645,96008626,39837,93447655,38397,92401356,41498,101492616,40099,98782677,35977,95986445,33870,977910847,31368,103310199,29921,108209998
"부산광역시",3511,9530570,3587,10057351,4234,12058766,4550,13422798,4234,12549051,4311,13170118,4560,14134713,4122,13323649,3731,13132002,3527,131662789,3397,14296294,3319,15333605
"대구광역시",2046,5506204,2285,6441820,2554,7330816,2615,7751226,2554,7643562,2648,8103015,2745,8714823,2581,8141074,2412,8484293,2265,83510850,2237,8999382,2047,9273842
"인천광역시",2210,6562376,2322,6899734,2742,8356699,2886,8776702,2777,8498961,2729,8460338,2950,9225242,2772,8565138,2542,8596519,2429,87614271,2604,10347077,2432,10750285
"광주광역시",1779,4463511,1933,5009692,2000,5350823,2204,6059495,1964,5525071,2017,5798089,2087,6262191,1887,5819986,1742,5992094,1656,61473941,1662,6923685,1516,7070440
"대전광역시",2115,5032768,2312,5291364,2978,6786407,3130,7134416,3026,6963774,2943,7010810,3150,7817687,3032,7449370,2684,7245344,2496,75960708,2284,7390534,2264,8381561
"울산광역시",1027,2725484,1143,3060047,1322,3589596,1379,3853091,1296,3676746,1435,4036858,1488,4273293,1432,4062649,1341,4244174,1108,38946150,1151,4411484,1151,4694659
"세종특별자치시",-,-,-,-,-,-,180,470217,183,480934,235,560191,296,736629,242,647998,292,874907,281,9712366,349,1190990,368,1491868
"경기도",12315,32438970,13064,35093011,16657,44813431,17338,46197324,17266,45737933,16962,46012344,18240,50447859,17497,48463369,15848,47834550,15003,496467382,14964,55721749,14639,59923638
"강원도",1317,3498740,1352,3681260,1648,4562777,1746,4740848,1658,4368025,1561,4429939,1683,4747965,1718,4597705,1647,4724308,1620,49667882,1596,5488601,1672,6021818
"층청북도",1639,4234932,1701,4367531,1980,5330944,1990,5398433,1912,5330864,1850,5222405,1983,5872303,1795,5615021,1684,5499678,1629,60275165,1588,6283913,1587,6982022
"충청남도",2297,5718103,2542,6411781,2633,7287509,2377,6699157,2179,6472456,2197,6771740,2234,7108675,2018,6512320,1919,6635551,1815,69190421,1782,7573047,1898,8689186
"전라북도",1585,4256005,1796,4959344,2006,5680273,2062,5953320,1898,5795230,1903,5798445,2155,6612166,1898,6074084,1671,5815587,1616,59947352,1557,6414338,1577,6788374
"전라남도",1777,4795205,1945,5305363,2114,5996913,2095,6051384,1975,5891034,1961,5971108,2037,6448469,1883,6142390,1541,5496010,1648,61314600,1541,6526366,1590,7465656
"경상북도",2388,5687947,2574,6276668,2864,7571137,2701,7592021,2708,7870380,2532,7550941,2799,8509574,2677,8263624,2396,7985454,2237,80812810,2217,8924995,2098,9195368
"경상남도",3199,8681797,3409,9340129,4029,11350434,4352,12456134,3987,11761449,3968,12249059,4251,13168193,3757,12143272,3375,11648604,2954,115250715,2903,12326340,3050,13259779
"제주특별자치도",916,2407858,993,2606396,1114,3040247,1144,3334994,1053,3091887,1107,3298076,1099,3426096,1057,3430145,908,3204465,908,33580620,895,3556624,814,3637483
